Code,Lat,Long,Families,Population,MTN,MCI
20507,36.880508,54.827254,217,704,72.03,78.75
20508,36.8657,54.768983,55,153,87.69,99.58
20510,36.961937,54.75607,239,823,20.51,100
20511,36.885466,54.80248,554,1659,99.68,89.53
20512,36.955054,54.816297,75,242,94.1,100
20513,36.914256,54.835816,804,2503,99.4,100
20515,36.959479,54.728162,159,500,95.92,100
20517,36.786469,54.859631,21,60,57.83,76.78
20519,36.95631,54.836048,103,317,100,62.43
20520,37.000007,54.889788,471,1473,80.73,85.93
20522,36.889621,54.765908,1295,4324,72.26,57.14
20524,36.937057,54.86388,125,402,98.62,91.42
20527,36.953332,54.720151,147,470,99.99,100
20528,36.947628,54.716533,676,2206,89.16,86.66
20530,36.885531,54.79162,199,620,100,73.75
20532,36.981567,54.839835,175,582,97.16,88.07
20533,36.897341,54.908637,558,1745,99.74,100
20535,36.726597,54.785209,27,85,100,99.36
20536,36.96876,54.775011,279,911,82.88,99.37
20537,36.764905,54.781701,31,98,100,100
20538,36.792856,54.014022,544,1683,55.95,81.75
20541,36.936139,54.826985,170,546,82.09,93.38
20542,36.965914,54.695209,151,539,100,83.28
21131,36.711695,53.941311,182,552,100,74.67
21132,36.753788,54.031207,218,662,100,100
21133,36.79339,54.032652,371,1242,100,73.97
21134,36.70477,53.914512,117,300,69.9,100
21135,36.731768,53.891044,370,1067,100,91.27
21136,36.79339,54.032652,311,920,100,100
21137,36.738651,53.946201,166,454,100,100
21138,36.740146,53.954432,169,509,100,100
21139,36.756042,54.008137,218,667,100,93.68
21140,36.753603,54,152,430,88.68,83.11
21141,36.752631,54.025715,127,397,100,100
21142,36.761609,54.036512,321,941,100,100
21143,36.748435,53.975676,109,332,100,63.88
21144,36.732197,53.865799,108,318,100,97.85
21145,36.742468,53.970646,422,1276,100,100
21146,36.750008,54.01757,223,668,99.42,100
21147,36.733508,53.874339,415,1229,100,98.76
21148,36.733339,53.884547,757,2240,100,100
21150,36.716277,53.96787,128,364,93.09,53.46
21151,36.748797,53.98842,118,344,99.3,100
21177,36.801191,54.148828,1094,3218,100,100
21179,36.792635,54.192268,359,986,100,100
21180,36.762917,54.175325,1228,3604,100,100
21181,36.836648,54.137267,0,0,98.16,89.43
21182,36.767526,54.233886,33,86,31.23,74.89
21183,36.796584,54.18081,668,1929,100,100
